1,3,4,2003,2211,335,N712SW,IAD,TPA,810
1,3,4,754,1002,3231,N772SW,IAD,TPA,810
1,3,4,628,804,448,N428WN,IND,BWI,515
1,3,4,926,1054,1746,N612SW,IND,BWI,515
1,3,4,1829,1959,3920,N464WN,IND,BWI,515
1,3,4,1940,2121,378,N726SW,IND,JAX,688
1,3,4,1937,2037,509,N763SW,IND,LAS,1591
1,3,4,1039,1132,535,N428WN,IND,LAS,1591
1,3,4,617,652,11,N689SW,IND,MCI,451
1,3,4,1620,1639,810,N648SW,IND,MCI,451
1,3,4,706,916,100,N690SW,IND,MCO,828
1,3,4,1644,1845,1333,N334SW,IND,MCO,828
1,3,4,1426,1426,829,N476WN,IND,MDW,162
1,3,4,715,720,1016,N765SW,IND,MDW,162
1,3,4,1702,1651,1827,N420WN,IND,MDW,162
1,3,4,1029,1021,2272,N263WN,IND,MDW,162
1,3,4,1452,1640,675,N286WN,IND,PHX,1489
1,3,4,754,940,1144,N778SW,IND,PHX,1489
1,3,4,1323,1526,4,N674AA,IND,TPA,838
1,3,4,1416,1512,54,N643SW,ISP,BWI,220
1,3,4,706,807,68,N497WN,ISP,BWI,220
1,3,4,1657,1754,623,N724SW,ISP,BWI,220
1,3,4,1900,1956,717,N786SW,ISP,BWI,220
1,3,4,1039,1133,1244,N714CB,ISP,BWI,220
1,3,4,801,902,2101,N222WN,ISP,BWI,220
1,3,4,1520,1619,2553,N394SW,ISP,BWI,220
1,3,4,1422,1657,188,N215WN,ISP,FLL,1093
1,3,4,1954,2239,1754,N243WN,ISP,FLL,1093
1,3,4,636,921,2275,N454WN,ISP,FLL,1093
1,3,4,734,958,550,N712SW,ISP,LAS,2283
1,3,4,2107,2334,362,N798SW,ISP,MCO,972
1,3,4,1008,1234,543,N736SA,ISP,MCO,972
1,3,4,712,953,1112,N795SW,ISP,MCO,972
1,3,4,1312,1546,1397,N247WN,ISP,MCO,972
1,3,4,1449,1715,3398,N707SA,ISP,MCO,972
1,3,4,1634,1859,3480,N443WN,ISP,MCO,972
1,3,4,831,935,300,N753SW,ISP,MDW,765
1,3,4,1812,1927,422,N779SW,ISP,MDW,765
1,3,4,1127,1235,1837,N704SW,ISP,MDW,765
1,3,4,1424,1531,2871,N709SW,ISP,MDW,765
1,3,4,1326,1559,1056,N459WN,ISP,PBI,1052
1,3,4,1749,2019,2175,N621SW,ISP,PBI,1052
1,3,4,726,958,3319,N206WN,ISP,PBI,1052
1,3,4,646,929,3667,N280WN,ISP,RSW,1101
1,3,4,1153,1428,2006,N241WN,ISP,TPA,1034
1,3,4,1528,1802,3858,N200WN,ISP,TPA,1034
1,3,4,634,907,3928,N459WN,ISP,TPA,1034
1,3,4,831,1148,534,N286WN,JAN,BWI,888
1,3,4,1450,1806,3244,N475WN,JAN,BWI,888
1,3,4,2245,2354,186,N792SW,JAN,HOU,359
