can_montreal_le_relais_lyonnais,le relais lyonnais,http://www.tripadvisor.com/ShowUserReviews-g155032-d631714-r49933883-Le_Relais_Lyonnais-Montreal_Quebec.html,1595 rue st denis,montreal,quebec,CAN,h2x 2k3,-1,-1,85,4.774117647
can_montreal_le_petit_hotel,le petit hotel,http://www.tripadvisor.com/ShowUserReviews-g155032-d1473790-r49915963-Le_Petit_Hotel-Montreal_Quebec.html,168 rue st-paul ouest,montreal,quebec,CAN,h2y 1z7,-1,-1,21,4.771428571
can_montreal_hotel_le_st_james,hotel le st james,http://www.tripadvisor.com/ShowUserReviews-g155032-d252386-r50217776-Hotel_Le_St_James-Montreal_Quebec.html,355 st-jacques,montreal,quebec,CAN,h2y 1n9,-1,-1,55,4.658181818
can_montreal_le_square_phillips_hotel_suites,le square phillips hotel suites,http://www.tripadvisor.com/ShowUserReviews-g155032-d259456-r49901990-Le_Square_Phillips_Hotel_Suites-Montreal_Quebec.html,1193 place phillips,montreal,quebec,CAN,h3b 3c9,-1,-1,227,4.618502203
can_montreal_le_saint_sulpice,le saint sulpice,http://www.tripadvisor.com/ShowUserReviews-g155032-d224665-r48396434-Le_Saint_Sulpice-Montreal_Quebec.html,414 rue saint sulpice,montreal,quebec,CAN,h2y 2v5,-1,-1,113,4.47079646
can_montreal_loews_hotel_vogue,loews hotel vogue,http://www.tripadvisor.com/ShowUserReviews-g155032-d183258-r49198482-Loews_Hotel_Vogue-Montreal_Quebec.html,1425 rue de la montagne,montreal,quebec,CAN,h3g 1z3,-1,-1,112,4.692857143
can_montreal_hotel_gault,hotel gault,http://www.tripadvisor.com/ShowUserReviews-g155032-d264340-r48863147-Hotel_Gault-Montreal_Quebec.html,449 sainte-helene,montreal,quebec,CAN,h2y 2k9,-1,-1,79,4.610126582
can_montreal_holiday_inn_express_hotel_suites_montreal_airport,holiday inn express hotel suites montreal airport,http://www.tripadvisor.com/ShowUserReviews-g155032-d1225564-r50035109-Holiday_Inn_Express_Hotel_Suites_Montreal_Airport-Montreal_Quebec.html,10888 cote de liesse,montreal,quebec,CAN,h8t 1a6,-1,-1,33,4.527272727
can_montreal_embassy_suites_montreal,embassy suites montreal,http://www.tripadvisor.com/ShowUserReviews-g155032-d671513-r50556537-Embassy_Suites_Montreal-Montreal_Quebec.html,208 saint antoine ouest,montreal,quebec,CAN,h2y 0a6,-1,-1,103,4.53592233
can_montreal_hotel_kutuma,hotel kutuma,http://www.tripadvisor.com/ShowUserReviews-g155032-d592139-r50424070-Hotel_Kutuma-Montreal_Quebec.html,3708 st. denis street,montreal,quebec,CAN,h2x 3l7,-1,-1,44,4.618181818
can_montreal_hotel_xixe_siecle,hotel xixe siecle,http://www.tripadvisor.com/ShowUserReviews-g155032-d254348-r50306285-Hotel_Xixe_Siecle-Montreal_Quebec.html,262 st jacques west,montreal,quebec,CAN,h2y 1n1,-1,-1,73,4.498630137
can_montreal_auberge_bonaparte,auberge bonaparte,http://www.tripadvisor.com/ShowUserReviews-g155032-d155208-r49763547-Auberge_Bonaparte-Montreal_Quebec.html,447 st.-francois xavier,montreal,quebec,CAN,h2y 2t1,-1,-1,63,4.53968254
can_montreal_hotel_le_crystal,hotel le crystal,http://www.tripadvisor.com/ShowUserReviews-g155032-d1006904-r50541888-Hotel_Le_Crystal-Montreal_Quebec.html,1100 rue de la montagne,montreal,quebec,CAN,h3g 0a1,-1,-1,86,4.513953488
