2009_acura_mdx,2009,38,6.79,8.53,8.63,8.84,8.68,8.41
2009_acura_rdx,2009,32,6.03,8.59,8,8.81,8.38,8.07
2009_acura_rl,2009,14,7.57,9.36,9.79,9.5,9.43,9.23
2009_acura_tl,2009,107,8.07,9.24,9.14,9.58,9.31,9.16
2009_acura_tsx,2009,156,9.16,8.71,9.12,9.58,9.09,9.18
2009_audi_a4,2009,92,8.65,9.03,9.08,9.23,9.39,9.22
2009_audi_a5,2009,24,8.42,9.33,9.17,9.67,9.67,9.39
2009_audi_q5,2009,47,8.55,9.43,9.47,9.53,9.6,9.49
2009_bmw_1_series,2009,18,7.22,9.67,8.78,9.5,9.67,9.07
2009_bmw_3_series,2009,70,8.2,9.49,8.79,9.19,9.37,9.07
2009_bmw_5_series,2009,21,8.33,9.1,9.62,9.57,9.67,9.26
2009_bmw_x5,2009,34,7.59,9.09,9.15,9,9.15,8.9
2009_bmw_x6,2009,13,6.92,9.77,9.69,9.31,9.23,9.07
2009_buick_enclave,2009,51,7.76,9.12,9.47,9.02,9.27,9.07
2009_cadillac_cts-v,2009,17,7,10,9.88,10,9.94,9.49
2009_cadillac_cts,2009,56,8.5,9.43,9.3,9.32,9.52,9.29
2009_chevrolet_aveo,2009,20,7.75,7.35,8.05,8.55,8.45,8.23
2009_chevrolet_cobalt,2009,44,8.98,9.07,8.16,9.2,9.07,8.68
2009_chevrolet_corvette,2009,15,9.27,9.93,9.53,9.8,10,9.68
2009_chevrolet_hhr,2009,33,9,8.82,8.42,9.18,9.24,8.96
2009_chevrolet_impala,2009,30,7.7,8.53,8.13,9.03,8.1,8.34
2009_chevrolet_malibu,2009,121,8.68,8.91,9.22,8.97,9.03,9.01
2009_chevrolet_silverado_1500,2009,21,7.43,8.76,8.95,8.38,9,8.46
2009_chevrolet_tahoe,2009,12,7.42,8.58,9.58,8.92,9.17,8.94
2009_chevrolet_traverse,2009,92,7.55,8.96,8.98,8.79,9.01,8.77
2009_chrysler_aspen,2009,14,8.5,9.21,9.36,8.79,9.14,9.02
2009_chrysler_sebring,2009,14,8.07,8,8.14,8,8.29,7.9
2009_chrysler_town_and_country,2009,35,7.83,8.71,9.17,8.89,8.6,8.7
2009_dodge_avenger,2009,17,8.82,8.53,9,9.71,9.18,9.06
2009_dodge_caliber,2009,25,9,9.2,9.52,9.56,9.64,9.37
2009_dodge_challenger,2009,74,7.45,9.24,9.34,9,9.73,9
2009_dodge_charger,2009,16,7,9.06,9.25,9.19,9.25,8.93
2009_dodge_grand_caravan,2009,31,8.13,8.9,8.71,8.74,8.58,8.6
2009_dodge_journey,2009,150,6.91,7.44,8.35,7.33,7.82,7.65
2009_dodge_ram_pickup_1500,2009,83,7.27,9.54,9.53,9.47,9.51,9.22
2009_ford_edge,2009,18,6.11,8.78,8.89,9.11,8.89,8.57
2009_ford_escape,2009,88,8.83,8.84,9.02,9.03,9.17,9
2009_ford_escape_hybrid,2009,25,9.68,9.28,9.08,9.56,9.44,9.33
2009_ford_f-150,2009,52,8.48,9.33,9.5,9.69,9.56,9.39
2009_ford_flex,2009,119,8.28,9.08,9.58,9.39,9.39,9.22
2009_ford_focus,2009,67,9.13,8.22,8.48,9.07,8.57,8.59
2009_ford_fusion,2009,73,8.73,8.95,9.36,9.55,9.47,9.25
2009_ford_mustang,2009,21,7.86,9.1,9.1,9.33,9.62,8.92
2009_ford_ranger,2009,21,7.33,7.81,7.14,8.9,8.29,7.99
2009_gmc_acadia,2009,38,7.32,8.79,9.37,8.53,8.97,8.69
2009_gmc_sierra_1500,2009,23,7.3,9,9.26,9,8.74,8.76
2009_honda_accord,2009,224,7.62,8.22,7.33,8.61,7.86,8.09
2009_honda_civic,2009,171,9.03,8.56,8.5,9.34,8.85,8.95
2009_honda_cr-v,2009,113,8.18,8.84,8.41,9.6,8.78,8.85
2009_honda_fit,2009,194,9.43,8.75,8.52,9.65,9.45,9.19
2009_honda_odyssey,2009,60,7.3,8.65,8.95,8.6,8.23,8.45
2009_honda_pilot,2009,155,7.31,8.76,9.18,9.3,8.79,8.8
2009_honda_ridgeline,2009,18,7.11,8.33,8.78,9.56,8.89,8.65
2009_hyundai_accent,2009,24,8.96,8.58,8.75,9.42,9,9.03
2009_hyundai_azera,2009,25,7.8,9.32,8.96,9.48,9.32,9.17
2009_hyundai_elantra,2009,46,8.96,8.17,9.04,9.3,8.54,8.87
2009_hyundai_elantra_touring,2009,49,8.71,8.51,8.94,9.45,8.94,8.99
2009_hyundai_genesis,2009,181,8.6,9.38,9.2,9.28,9.1,9.25
2009_hyundai_santa_fe,2009,32,7.47,8.66,9.06,9.19,8.72,8.84
2009_hyundai_sonata,2009,262,8.8,8.6,9.09,9.23,8.56,8.95
